NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltseinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;Beantwortungsdauer in Sek.;Beantwortungszeit;1. In dieser Studie, erforschen wir was Männer attraktiv macht.;2. Immer mehr Menschen nutzen Online-Banking. Dies ist eine Kontrollfrage. Bitte wählen Sie die zweite Antwort.;3. [Random Choice]:Set 1;3. [Random Choice]:Set 2;3. [Random Choice]:Set 3;3. [Random Choice]:Set 4;3. [Random Choice]:Set 5;3. [Random Choice]:Set 6;3. [Random Choice]:Set 7;3. [Random Choice]:Set 8;3. [Random Choice]:Set 9;3. [Random Choice]:Set 10;3. [Random Choice]:Set 11;3. [Random Choice]:Set 12;3. [Random Choice]:Set 13;3. [Random Choice]:Set 14;3. [Random Choice]:Set 15;3. [Random Choice]:Set 16;4. Bitte wähle das attraktivste Profil aus.;5. Bitte wähle das attraktivste Profil aus.;6. Bitte wähle das attraktivste Profil aus.;7. Bitte wähle das attraktivste Profil aus.;8. Bitte wähle das attraktivste Profil aus.;9. Bitte wähle das attraktivste Profil aus.;10. Bitte wähle das attraktivste Profil aus.;11. Bitte wähle das attraktivste Profil aus.;12. Bitte wähle das attraktivste Profil aus.;13. Bitte wähle das attraktivste Profil aus.;14. Bitte wähle das attraktivste Profil aus.;15. Bitte wähle das attraktivste Profil aus.;16. Bitte wähle das attraktivste Profil aus.;17. Bitte wähle das attraktivste Profil aus.;18. Bitte wähle das attraktivste Profil aus.;19. Bitte wähle das attraktivste Profil aus.;20. Wie würdest du dich selber auf dem politischen Spektrum einordnen?;21. Wie würdest du deine sexuelle Orientierung beschreiben?;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage!
518;f;35;6;Sachsen-Anhalt;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Halle (Saale);x;06110;DEU;Android;181;2021-07-06 09:44:56;-;Fast immer;1;1;1;0;1;0;0;1;1;0;0;1;1;0;1;1;1A;2B;3B;-;5C;-;-;8B;9B;-;-;12C;13C;-;15B;16A;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
519;f;18;5;Berlin;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;<1000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Berlin;x;10115;DEU;iOS;87;2021-07-06 09:12:20;-;Fast immer;1;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;1A;2C;-;4A;5C;-;7C;-;9B;-;11A;-;13A;-;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
520;f;22;3a;Rheinland-Pfalz;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Etgert;-;54424;DEU;ios;99;2021-07-06 08:59:42;-;Fast immer;1;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1B;2B;3B;-;-;-;7C;8B;-;-;11A;12C;13C;-;15A;16A;Eher mittig;Anders / divers;Pudding
521;f;38;6;Brandenburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Carmzow-Wallmow;-;17291;DEU;Android;55;2021-07-06 09:42:02;-;Fast immer;1;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;1B;2A;-;-;5C;6C;7A;-;9C;10C;11A;12A;-;14C;-;-;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
522;f;32;1;Hamburg;;;;;;;;Hamburg;x;22299;DEU;iOS;135;2021-07-06 10:38:12;-;Fast immer;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;-;-;3B;4A;5C;6C;-;8A;-;10B;11C;12C;13C;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
523;f;27;1;Hamburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;x;20251;DEU;ios;500;2021-07-06 09:15:30;-;Fast immer;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;-;2B;3B;-;5C;6C;-;-;9B;10B;-;12C;-;14B;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
524;f;25;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Realschulabschluss;Wuppertal;x;42275;DEU;ios;63;2021-07-06 10:08:01;-;Fast immer;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1B;2A;3B;-;-;-;-;8B;-;10C;-;12A;13C;14B;15A;16B;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
525;f;28;3a;Hessen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Frankfurt am Main;x;60326;DEU;iOS;113;2021-07-06 09:16:51;-;Fast immer;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1B;2B;-;4B;-;6C;7C;8B;9A;-;11A;-;13A;-;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
526;f;16;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Frankfurt am Main;x;60599;DEU;ios;161;2021-07-06 09:16:58;-;Fast immer;0;0;1;1;0;0;0;1;1;1;1;1;1;0;1;1;-;-;3B;4B;-;-;-;8A;9C;10A;11B;12A;13B;-;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
527;f;22;3a;Hessen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Giessen;-;35390;DEU;iOS;128;2021-07-06 09:23:12;-;Fast immer;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1A;2C;-;4A;5C;6C;7C;8B;-;10B;-;-;-;-;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
528;f;16;6;Sachsen-Anhalt;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;4 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Bad Koesen;-;06628;DEU;ios;143;2021-07-06 09:13:14;-;Fast immer;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1;1;-;-;-;4A;5C;-;7A;8A;9B;10B;-;12C;13C;-;15B;16A;Eher links;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
529;f;40;4;Bayern;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Neustadt an der Donau;-;93333;DEU;Android;471;2021-07-06 09:38:32;-;Fast immer;1;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1A;2B;-;4A;5C;-;7B;8A;-;-;11A;-;13A;14B;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
530;f;34;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Versmold;-;33775;DEU;ios;127;2021-07-06 09:33:22;-;Fast immer;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1B;-;-;4A;5C;6B;7B;8A;9C;-;-;12B;13C;14C;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
531;f;33;6;Mecklenburg-Vorpommern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Elmenhorst-Lichtenhagen;-;18107;DEU;Android;229;2021-07-06 09:14:57;-;Fast immer;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1A;2C;3B;4A;5C;6A;-;-;-;10C;11A;-;13A;-;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
532;f;25;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Wiesloch;-;69168;DEU;ios;76;2021-07-06 10:02:06;-;Fast immer;0;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;-;2B;-;4B;-;6C;7C;8A;-;10C;-;12C;13C;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
533;f;38;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Stuttgart;x;70597;DEU;Android;79;2021-07-06 10:12:49;-;Fast immer;0;1;1;0;0;1;0;1;0;1;1;0;1;1;1;1;-;2B;3B;-;-;6C;-;8A;-;10A;11C;-;13C;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
534;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Bottrop;x;46238;DEU;ios;143;2021-07-06 09:42:12;-;Fast immer;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;1;-;-;-;4A;5C;6C;7A;-;-;10B;11B;12B;-;14B;15C;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
535;f;29;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Bochum;x;44793;DEU;ios;122;2021-07-06 10:48:59;-;Fast immer;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;-;2B;3B;-;5C;6C;7A;8B;-;10B;11C;12C;-;-;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
536;f;26;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Taeferrot;-;73527;DEU;ios;83;2021-07-06 10:31:18;-;Fast immer;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1A;-;3B;4A;-;6B;7A;-;9C;-;-;-;13C;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
537;f;32;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Goettingen;x;37085;DEU;Android;127;2021-07-06 10:33:12;-;Fast immer;0;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;-;-;3B;4A;-;6C;7C;8A;-;10C;11C;12C;-;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
538;f;36;7;Thueringen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Nirmsdorf;-;99510;DEU;Android;626;2021-07-06 09:41:17;-;Fast immer;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;-;-;-;-;5C;6A;7C;-;9A;10C;-;12C;13C;14C;15C;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
539;f;17;2;Nordrhein-Westfalen;Sonstige;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Guetersloh;-;33332;DEU;Android;128;2021-07-06 09:22:53;-;Fast immer;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;1A;-;-;4B;-;6C;7C;-;9A;-;11C;12C;13A;14B;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
540;f;33;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Reichelsheim;-;64385;DEU;Android;121;2021-07-06 09:08:46;-;Fast immer;0;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;-;2B;-;4B;-;6A;7B;8A;9A;-;-;-;13C;14B;15A;16C;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
541;f;52;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Suderburg;-;29556;DEU;ios;153;2021-07-06 09:43:47;-;Fast immer;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1A;-;-;4A;5C;6C;-;8A;-;10B;11C;12C;-;-;15B;16A;Eher mittig;Keine Angaben;Pudding
542;f;25;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Koeln;x;50735;DEU;Android;121;2021-07-06 09:15:23;-;Fast immer;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;-;2B;3B;-;5C;6C;7A;-;9C;10B;11C;-;13C;-;-;16A;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
543;f;19;3a;Rheinland-Pfalz;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Ensheim;-;55232;DEU;Android;150;2021-07-06 09:15:35;-;Fast immer;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;1;1A;-;3B;4A;5C;6C;-;-;9B;10B;-;-;13C;-;15B;16A;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
544;f;38;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Goettingen;x;37073;DEU;ios;325;2021-07-06 10:24:24;-;Fast immer;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;1B;2B;3B;-;5C;6A;7B;8B;-;-;-;-;-;14C;15A;16A;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
545;f;37;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Nuernberg;x;90473;DEU;Android;138;2021-07-06 10:30:15;-;Fast immer;1;1;1;1;0;1;0;1;1;1;0;1;0;0;1;0;1A;2C;3B;4B;-;6C;-;8A;9A;10C;-;12C;-;-;15A;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
546;f;47;2;Nordrhein-Westfalen;;;;;;;;Heinsberg;-;52525;DEU;android;117;2021-07-06 09:37:23;-;Fast immer;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;1B;2B;-;-;5C;6A;7B;-;9A;-;-;-;13A;14B;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
547;f;29;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Bochum;x;44869;DEU;ios;124;2021-07-06 09:37:01;-;Fast immer;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;1;1A;-;3B;4B;-;-;7C;8A;9B;10C;-;12C;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
548;f;37;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;>5000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Schloss Holte-Stukenbrock;-;33758;DEU;android;167;2021-07-06 11:24:57;-;Fast immer;0;0;1;1;0;0;1;1;1;1;0;0;1;1;1;1;-;-;3B;4A;-;-;7A;8B;9B;10B;-;-;13C;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
549;f;25;4;Bayern;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;>5000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Groebenzell;-;82194;DEU;ios;154;2021-07-06 10:18:34;-;Fast immer;0;0;1;1;1;1;0;0;1;1;1;0;0;1;1;1;-;-;3B;4A;5C;6A;-;-;9B;10C;11A;-;-;14C;15A;16A;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
550;f;17;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Steinfurt;-;48565;DEU;ios;74;2021-07-06 09:28:38;-;Fast immer;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;-;-;3C;4A;5B;-;-;8C;9B;10B;11A;-;-;14C;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
551;f;49;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Bielefeld;x;33649;DEU;ios;82;2021-07-06 09:40:00;-;Fast immer;1;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1A;2B;-;4A;-;6C;-;-;9B;10B;-;12A;-;14B;15B;16B;Eher links;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
552;f;43;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Bielefeld;x;33699;DEU;ios;350;2021-07-06 10:51:12;-;Fast immer;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;0;1A;2B;3B;-;5A;-;-;8B;9C;10C;11C;-;13B;-;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
553;f;41;7;Sachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Meissen;-;01662;DEU;Android;92;2021-07-06 10:24:16;-;Fast immer;0;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0;-;2B;3B;4A;5C;6A;7C;-;-;10C;-;12C;-;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
554;f;36;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Muenster;x;48161;DEU;iOS;127;2021-07-06 09:32:44;-;Fast immer;0;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;-;2B;3B;4A;-;6C;7A;-;9C;-;11C;-;13C;14B;15B;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
555;f;20;7;Sachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;1 Person;<1000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Pirna;-;01796;DEU;ios;102;2021-07-06 09:15:26;-;Fast immer;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1A;2C;3B;4A;5C;-;-;8A;9A;-;-;-;-;14B;15B;16B;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
556;f;44;7;Thueringen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Weimar;-;99423;DEU;iOS;164;2021-07-06 11:03:22;-;Fast immer;0;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;-;2C;3B;4A;5C;6C;-;8A;9B;-;-;12C;13C;14B;-;-;Eher mittig;Bisexuell (zu beiden Geschlechtern hingezogen);Pudding
557;f;41;3a;Hessen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Rosbach vor der Hoehe;-;61191;DEU;Android;72;2021-07-06 09:08:28;-;Fast immer;1;1;1;1;0;0;1;1;1;1;0;1;1;0;0;0;1A;2B;3B;4B;-;-;7C;8C;9A;10C;-;12C;13A;-;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
558;f;44;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Hauptschulabschluss;Muelheim an der Ruhr;x;45476;DEU;Android;174;2021-07-06 11:20:15;-;Fast immer;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1A;-;-;-;-;6A;7C;8A;-;10C;11A;12C;13C;-;15A;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
559;f;37;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;4 Personen;>5000€;Single / Ledig;Lehre / Ausbildung;Abitur / Fachabitur;Werne;-;59368;DEU;Android;157;2021-07-06 09:33:44;-;Fast immer;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;-;2B;3B;4C;5A;-;-;-;9A;10C;11C;-;-;14A;15B;16B;Eher mittig;Keine Angaben;Pudding
560;f;54;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Single / Ledig;Universitärer Abschluss;Hauptschulabschluss;Wuppertal;x;42281;DEU;Android;125;2021-07-06 09:27:31;-;Fast immer;1;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;1A;-;3B;-;5C;6A;7A;8A;-;10C;11A;-;-;14B;15B;-;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
561;f;26;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Berlin;x;12489;DEU;iOS;339;2021-07-06 09:36:09;-;Fast immer;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;1A;2B;3B;-;5A;6C;7C;8A;9C;-;-;12C;-;14B;-;-;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
562;f;18;3b;Baden-Wuerttemberg;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Hauptschulabschluss;Bad Wurzach;-;88410;DEU;ios;124;2021-07-06 09:40:13;-;Fast immer;0;1;1;0;0;0;1;1;1;0;1;0;1;1;1;1;-;2B;3C;-;-;-;7A;8C;9A;-;11A;-;13C;14B;15A;16C;Eher mittig;Keine Angaben;Pudding
563;f;18;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Goettingen;x;37073;DEU;Android;153;2021-07-06 09:34:07;-;Fast immer;1;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1A;-;3B;4A;5C;6C;-;8B;9B;-;11B;-;-;-;15B;16B;Eher links;Anders / divers;Pudding
564;f;19;3b;Baden-Wuerttemberg;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;<1000€;Single / Ledig;Universitärer Abschluss;Hauptschulabschluss;Gerabronn;-;74582;DEU;android;142;2021-07-06 09:36:09;-;Fast immer;0;0;1;0;1;1;1;0;1;1;1;0;0;1;1;1;-;-;3B;-;5C;6A;7A;-;9A;10C;11A;-;-;14C;15B;16A;Eher rechts;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
565;f;27;2;Nordrhein-Westfalen;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Hueckeswagen;-;42499;DEU;ios;106;2021-07-06 09:06:21;-;Fast immer;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;1B;-;-;4B;-;-;7A;8B;9A;-;11A;12C;13A;14C;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
566;f;30;5;Berlin;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Berlin;x;13189;DEU;Android;97;2021-07-06 09:37:04;-;Fast immer;0;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;-;2B;3B;-;-;6C;-;8A;9B;10C;-;12B;13A;-;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
567;f;24;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Erftstadt;-;50374;DEU;android;156;2021-07-06 09:41:05;-;Fast immer;1;0;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1A;-;3B;4A;-;6C;7A;8B;9B;-;-;-;-;14B;15B;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
568;f;45;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Paderborn;x;33098;DEU;Android;101;2021-07-06 09:00:35;-;Fast immer;0;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;-;2C;3B;4A;5C;6C;7A;8B;-;-;11B;-;-;14B;-;16A;Eher mittig;Heterosexuell (zum anderen Geschlecht hingezogen);Pudding
